concept:name,lifecycle:transition,org:resource,time:timestamp,Program,Course code,Grade,case:concept:name,case:variant,case:variant-index,case:creator
DE11-20,complete,"Byggeri og infrastruktur, ing.prof.bach.",2018-09-21 00:00:00+00:00,"Byggeri og infrastruktur, ing.prof.bach.",DE11-20,7,STNR000528,Variant 747,747,Fluxicon Disco
S11-05-2,complete,"Byggeri og infrastruktur, ing.prof.bach.",2018-10-08 00:00:00+00:00,"Byggeri og infrastruktur, ing.prof.bach.",S11-05-2,10,STNR000528,Variant 747,747,Fluxicon Disco
1037,complete,"Byggeri og infrastruktur, ing.prof.bach.",2019-01-04 00:00:00+00:00,"Byggeri og infrastruktur, ing.prof.bach.",1037,4,STNR000528,Variant 747,747,Fluxicon Disco
S11-15-1,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2017-10-30 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",S11-15-1,7,STNR000548,Variant 766,766,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-12 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000575,Variant 1,1,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-01 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000581,Variant 1,1,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-03 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,10,STNR000583,Variant 1,1,Fluxicon Disco
42467,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-07 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42467,7,STNR000584,Variant 793,793,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-03-14 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,4,STNR000584,Variant 793,793,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-10 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000595,Variant 1,1,Fluxicon Disco
42413,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-06 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42413,12,STNR000597,Variant 803,803,Fluxicon Disco
42372,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-12-11 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42372,10,STNR000597,Variant 803,803,Fluxicon Disco
42085,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-12-17 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42085,10,STNR000597,Variant 803,803,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-08-23 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,7,STNR000597,Variant 803,803,Fluxicon Disco
2101,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-12-28 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",2101,2,STNR000597,Variant 803,803,Fluxicon Disco
28864-1,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-06 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",28864-1,BE,STNR000611,Variant 816,816,Fluxicon Disco
42136,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-07 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42136,10,STNR000611,Variant 816,816,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-07-02 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000611,Variant 816,816,Fluxicon Disco
42136,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-07 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42136,12,STNR000612,Variant 175,175,Fluxicon Disco
42116,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-13 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42116,12,STNR000612,Variant 175,175,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-06-28 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000612,Variant 175,175,Fluxicon Disco
42340,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-18 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42340,10,STNR000616,Variant 820,820,Fluxicon Disco
42429,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-09-05 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42429,12,STNR000616,Variant 820,820,Fluxicon Disco
S42-10-1,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-08 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",S42-10-1,BE,STNR000616,Variant 820,820,Fluxicon Disco
42351,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-10 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42351,12,STNR000616,Variant 820,820,Fluxicon Disco
42452,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-19 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42452,10,STNR000616,Variant 820,820,Fluxicon Disco
42457,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-19 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42457,10,STNR000616,Variant 820,820,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-07-06 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,EM,STNR000616,Variant 820,820,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-08-07 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,4,STNR000616,Variant 820,820,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-12 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000632,Variant 1,1,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-09-22 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000633,Variant 1,1,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-10-23 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,7,STNR000634,Variant 1,1,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-11 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000636,Variant 1,1,Fluxicon Disco
42413,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-06 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42413,10,STNR000656,Variant 853,853,Fluxicon Disco
42451,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-12-22 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42451,7,STNR000656,Variant 853,853,Fluxicon Disco
42436-1,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-12-22 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42436-1,10,STNR000656,Variant 853,853,Fluxicon Disco
42435,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-15 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42435,12,STNR000656,Variant 853,853,Fluxicon Disco
42457,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-19 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42457,10,STNR000656,Variant 853,853,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-06-19 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,7,STNR000656,Variant 853,853,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-04 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,10,STNR000663,Variant 1,1,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-07 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,7,STNR000671,Variant 1,1,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-07 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,10,STNR000710,Variant 1,1,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-04 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000737,Variant 1,1,Fluxicon Disco
S42-05-1,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-12 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",S42-05-1,12,STNR000739,Variant 159,159,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-12-12 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000739,Variant 159,159,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-06-29 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000740,Variant 1,1,Fluxicon Disco
42136,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-07 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42136,10,STNR000745,Variant 176,176,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-08-30 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,4,STNR000745,Variant 176,176,Fluxicon Disco
42413,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-06 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42413,12,STNR000747,Variant 933,933,Fluxicon Disco
42433,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-12-08 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42433,12,STNR000747,Variant 933,933,Fluxicon Disco
S47-05-1,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-12-21 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",S47-05-1,10,STNR000747,Variant 933,933,Fluxicon Disco
2450,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-09 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",2450,7,STNR000747,Variant 933,933,Fluxicon Disco
42457,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-19 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42457,10,STNR000747,Variant 933,933,Fluxicon Disco
