case_id,no_dev_total,no_constr_total,dev_fitness
STNR000145,6,1565,0.9961661341853035
STNR000146,6,1565,0.9961661341853035
STNR000147,9,1565,0.9942492012779552
STNR000148,10,1565,0.9936102236421726
STNR000149,12,1565,0.9923322683706071
STNR000150,11,1565,0.9929712460063898
STNR000151,11,1565,0.9929712460063898
STNR000152,10,1565,0.9936102236421726
STNR000153,7,1565,0.9955271565495207
STNR000154,12,1565,0.9923322683706071
STNR000155,4,1565,0.997444089456869
STNR000156,8,1565,0.994888178913738
STNR000157,8,1565,0.994888178913738
STNR000158,14,1565,0.9910543130990416
STNR000159,14,1565,0.9910543130990416
STNR000160,10,1565,0.9936102236421726
STNR000161,16,1565,0.9897763578274761
STNR000162,18,1565,0.9884984025559106
STNR000163,16,1565,0.9897763578274761
STNR000164,14,1565,0.9910543130990416
STNR000165,9,1565,0.9942492012779552
STNR000166,8,1565,0.994888178913738
STNR000167,18,1565,0.9884984025559106
STNR000168,10,1565,0.9936102236421726
STNR000169,22,1565,0.9859424920127795
STNR000170,8,1565,0.994888178913738
STNR000171,8,1565,0.994888178913738
STNR000172,3,1565,0.9980830670926517
STNR000173,3,1565,0.9980830670926517
STNR000174,3,1565,0.9980830670926517
STNR000175,5,1565,0.9968051118210862
STNR000176,3,1565,0.9980830670926517
STNR000177,12,1565,0.9923322683706071
STNR000178,3,1565,0.9980830670926517
STNR000179,3,1565,0.9980830670926517
STNR000180,12,1565,0.9923322683706071
STNR000181,16,1565,0.9897763578274761
STNR000182,6,1565,0.9961661341853035
STNR000183,16,1565,0.9897763578274761
STNR000184,7,1565,0.9955271565495207
STNR000185,8,1565,0.994888178913738
STNR000186,3,1565,0.9980830670926517
STNR000187,6,1565,0.9961661341853035
STNR000188,6,1565,0.9961661341853035
STNR000189,15,1565,0.9904153354632588
STNR000190,18,1565,0.9884984025559106
STNR000191,11,1565,0.9929712460063898
STNR000192,14,1565,0.9910543130990416
STNR000193,19,1565,0.9878594249201278
STNR000194,15,1565,0.9904153354632588
STNR000195,16,1565,0.9897763578274761
STNR000196,13,1565,0.9916932907348243
STNR000197,13,1565,0.9916932907348243
STNR000198,9,1565,0.9942492012779552
STNR000199,10,1565,0.9936102236421726
STNR000200,11,1565,0.9929712460063898
STNR000201,10,1565,0.9936102236421726
STNR000202,11,1565,0.9929712460063898
STNR000203,17,1565,0.9891373801916933
STNR000204,22,1565,0.9859424920127795
STNR000205,18,1565,0.9884984025559106
STNR000206,17,1565,0.9891373801916933
STNR000207,16,1565,0.9897763578274761
STNR000208,17,1565,0.9891373801916933
STNR000209,16,1565,0.9897763578274761
STNR000210,3,1565,0.9980830670926517
STNR000211,4,1565,0.997444089456869
STNR000212,5,1565,0.9968051118210862
STNR000213,4,1565,0.997444089456869
STNR000214,4,1565,0.997444089456869
STNR000215,5,1565,0.9968051118210862
STNR000216,4,1565,0.997444089456869
STNR000217,4,1565,0.997444089456869
STNR000218,3,1565,0.9980830670926517
STNR000219,3,1565,0.9980830670926517
STNR000220,3,1565,0.9980830670926517
STNR000221,5,1565,0.9968051118210862
STNR000222,3,1565,0.9980830670926517
STNR000223,3,1565,0.9980830670926517
STNR000224,4,1565,0.997444089456869
STNR000225,6,1565,0.9961661341853035
STNR000226,6,1565,0.9961661341853035
STNR000227,6,1565,0.9961661341853035
STNR000228,6,1565,0.9961661341853035
STNR000229,6,1565,0.9961661341853035
STNR000230,3,1565,0.9980830670926517
STNR000231,9,1565,0.9942492012779552
STNR000232,5,1565,0.9968051118210862
STNR000233,5,1565,0.9968051118210862
STNR000234,4,1565,0.997444089456869
STNR000235,6,1565,0.9961661341853035
