case_id,no_dev_total,no_constr_total,dev_fitness
STNR000281,8,922,0.9913232104121475
STNR000282,0,922,1.0
STNR000283,0,922,1.0
STNR000284,0,922,1.0
STNR000285,0,922,1.0
STNR000286,14,922,0.9848156182212582
STNR000287,0,922,1.0
STNR000288,1,922,0.9989154013015185
STNR000289,2,922,0.9978308026030369
STNR000290,7,922,0.9924078091106291
STNR000291,0,922,1.0
STNR000292,4,922,0.9956616052060737
STNR000293,1,922,0.9989154013015185
STNR000294,1,922,0.9989154013015185
STNR000295,1,922,0.9989154013015185
STNR000296,4,922,0.9956616052060737
STNR000297,5,922,0.9945770065075922
STNR000298,3,922,0.9967462039045553
STNR000299,6,922,0.9934924078091106
STNR000300,4,922,0.9956616052060737
STNR000301,2,922,0.9978308026030369
STNR000302,9,922,0.9902386117136659
STNR000303,8,922,0.9913232104121475
STNR000304,9,922,0.9902386117136659
STNR000305,9,922,0.9902386117136659
STNR000306,0,922,1.0
STNR000307,5,922,0.9945770065075922
STNR000308,10,922,0.9891540130151844
STNR000309,13,922,0.9859002169197397
STNR000310,8,922,0.9913232104121475
STNR000311,9,922,0.9902386117136659
STNR000312,5,922,0.9945770065075922
STNR000313,10,922,0.9891540130151844
STNR000314,9,922,0.9902386117136659
STNR000315,7,922,0.9924078091106291
STNR000316,4,922,0.9956616052060737
STNR000317,5,922,0.9945770065075922
STNR000318,0,922,1.0
STNR000319,11,922,0.9880694143167028
STNR000320,6,922,0.9934924078091106
STNR000321,18,922,0.9804772234273319
STNR000322,7,922,0.9924078091106291
STNR000323,6,922,0.9934924078091106
STNR000324,16,922,0.982646420824295
STNR000325,11,922,0.9880694143167028
STNR000326,19,922,0.9793926247288504
STNR000327,10,922,0.9891540130151844
STNR000328,0,922,1.0
STNR000329,11,922,0.9880694143167028
STNR000330,4,922,0.9956616052060737
STNR000331,6,922,0.9934924078091106
STNR000332,6,922,0.9934924078091106
STNR000333,6,922,0.9934924078091106
STNR000334,8,922,0.9913232104121475
STNR000335,16,922,0.982646420824295
STNR000336,12,922,0.9869848156182213
STNR000337,11,922,0.9880694143167028
STNR000338,0,922,1.0
STNR000339,5,922,0.9945770065075922
STNR000340,9,922,0.9902386117136659
STNR000341,12,922,0.9869848156182213
STNR000342,10,922,0.9891540130151844
