STUDIENR,UDDANNELSE,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,BEDOMMELSESDATO
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",2454,02454 Introduktion til kognitionsvidenskab,7,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2020-01-27
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",2456,02456 Dyb læring,10,7-trinsskala,5.0,Skriftlig,ekstern censur,2020-01-27
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",2458,02458 Kognitiv modellering,12,7-trinsskala,5.0,Afløsningsopgave,intern censur,2020-05-19
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",2458,02458 Kognitiv modellering,0,7-trinsskala,5.0,Afløsningsopgave,intern censur,2020-01-27
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",2805,02805 Sociale grafer og interaktioner,10,7-trinsskala,10.0,Skriftlig,intern censur,2019-01-08
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",2806,02806 Social dataanalyse og visualisering,10,7-trinsskala,5.0,Skriftlig,intern censur,2019-06-11
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",2807,02807 Beregningsmæssige værktøjer til datavidenskab,12,7-trinsskala,5.0,Afløsningsopgave,intern censur,2019-01-08
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",2808,02808 Personal data interaction,10,7-trinsskala,10.0,Afløsningsopgave,ekstern censur,2019-06-17
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",2809,02809 UX design prototypeudvikling,12,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2019-01-16
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",2830,02830 Avanceret projekt i digitale medieteknologier,12,7-trinsskala,10.0,Skriftlig,intern censur,2020-01-16
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",42575,42575 Teknologi og innovationsledelse,10,7-trinsskala,5.0,Afløsningsopgave,intern censur,2019-01-28
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",42436-1,"42436 Kommercialisering af high-tech koncepter, iværksætteri og videnskab i aktion",10,7-trinsskala,5.0,Mundtlig,ekstern censur,2020-01-14
STNR005790,"Menneskeorienteret kunstig intelligens, cand.polyt.",E01-30,Institut for Matematik og Computer Science,10,7-trinsskala,30.0,Projekt,ekstern censur,2021-02-12
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",2267,02267 Softwareudvikling af webtjenester,7,7-trinsskala,5.0,Skriftlig,intern censur,2019-02-06
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",2282,02282 Algoritmer for store datamængder,4,7-trinsskala,7.5,Skriftlig,ekstern censur,2018-05-16
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",2285,02285 Kunstig intelligens og multiagent-systemer,10,7-trinsskala,7.5,Skriftlig,intern censur,2018-07-03
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",2561,02561 Computergrafik,7,7-trinsskala,5.0,Afløsningsopgave,intern censur,2018-01-26
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",2808,02808 Personal data interaction,7,7-trinsskala,10.0,Afløsningsopgave,ekstern censur,2018-06-07
